"","ds","yhat","yhat_lower","yhat_upper"
"1",2009-01-05,1687.03492928872,1361.65057208008,2027.65072424977
"2",2009-01-06,1695.78292468545,1375.38417613775,2036.67563255806
"3",2009-01-07,1705.26028311262,1381.97158468254,2027.41971091942
"4",2009-01-08,1707.52986265924,1403.12165316396,2013.49992673666
"5",2009-01-09,1729.4100069595,1413.7926568739,2047.84147268446
"6",2009-01-10,1889.45062915694,1556.60373467745,2203.95207126517
"7",2009-01-11,1911.68808879366,1596.64965779341,2241.87848912407
"8",2009-01-12,1783.46137914525,1466.49578797561,2094.61042878594
"9",2009-01-13,1782.86360253839,1462.83045929196,2105.00155624643
"10",2009-01-14,1802.91823874323,1477.24925919847,2134.04456915484
"11",2009-01-15,1818.13408706481,1518.67576870893,2156.87777454997
"12",2009-01-16,1828.64447598566,1507.21115789337,2155.98518180205
"13",2009-01-17,1958.7061003792,1665.97555627127,2299.85201611466
"14",2009-01-18,1961.48465401869,1641.12646702323,2309.46825529294
"15",2009-01-19,1832.33155441894,1519.34222642895,2155.81602948954
"16",2009-01-20,1828.14753624659,1516.43858174508,2136.10588249332
"17",2009-01-21,1829.75151666148,1521.40645915182,2143.43776243867
"18",2009-01-22,1827.56316847811,1503.39635251695,2141.53958036429
"19",2009-01-23,1836.84660191056,1500.59190655659,2132.76866657257
"20",2009-01-24,1971.84173710625,1653.95528014035,2281.44567927541
"21",2009-01-25,1971.19500744512,1639.2313147038,2285.48908794854
"22",2009-01-26,1837.64564818715,1504.9551506518,2147.97973624914
"23",2009-01-27,1842.49408367421,1520.9030003602,2145.36793183719
"24",2009-01-28,1859.12503236412,1538.52784369897,2184.16712137303
"25",2009-01-29,1857.89401761327,1544.05174018808,2177.89727408402
"26",2009-01-30,1853.58963620846,1525.42718765763,2160.71140087673
"27",2009-01-31,1979.57716847285,1640.06629389073,2303.05165798902
"28",2009-02-01,1981.87908338117,1683.74614790364,2289.70268704918
"29",2009-02-02,1850.03674035749,1531.33592355604,2174.81794290657
"30",2009-02-03,1847.68567436131,1544.50825343491,2174.71826321963
"31",2009-02-04,1858.91167772427,1523.74982615743,2162.1773238715
"32",2009-02-05,1861.21836991587,1554.23408401039,2206.60674165382
"33",2009-02-06,1858.64524729526,1551.42454639287,2184.32607023719
"34",2009-02-07,1976.97215470379,1658.1026767118,2292.22957456881
"35",2009-02-08,1975.54978949738,1674.93296869711,2329.10506087058
"36",2009-02-09,1856.93472331226,1539.3559842145,2197.17354649237
"37",2009-02-10,1872.41637704121,1545.97636857225,2177.12508948746
"38",2009-02-11,1886.42643542576,1584.66658873618,2213.13874570041
"39",2009-02-12,1883.41494893637,1576.71185482081,2214.34613711352
"40",2009-02-13,1891.31509098318,1582.96349818397,2173.28613454354
"41",2009-02-14,2035.67930997576,1691.03781450112,2344.64315150182
"42",2009-02-15,2047.47065257716,1736.35464304804,2364.78851816122
"43",2009-02-16,1915.54784649152,1607.92779623755,2210.79085438685
"44",2009-02-17,1913.32995348388,1614.55871242701,2222.19225430356
"45",2009-02-18,1928.3763073815,1630.43517390115,2255.88597576474
"46",2009-02-19,1935.43337055734,1604.20570605261,2255.56121385832
"47",2009-02-20,1940.26821554775,1599.82740290362,2252.89464955076
"48",2009-02-21,2071.23065614147,1777.03619074558,2379.90175762626
"49",2009-02-22,2079.74266456207,1748.95180793827,2391.03006716024
"50",2009-02-23,1957.34857217159,1620.09427956104,2278.97724771455
"51",2009-02-24,1960.5679784624,1647.3704520677,2285.1564121231
"52",2009-02-25,1972.28874157809,1630.26569477458,2282.58467281977
"53",2009-02-26,1982.38134669922,1664.96202391145,2292.92945555361
"54",2009-02-27,2002.03896583352,1670.88391891777,2318.70924007108
"55",2009-02-28,2142.0097490523,1842.98420502394,2471.48260308891
"56",2009-03-01,2140.50542429983,1808.58116457413,2459.11012448481
"57",2009-03-02,2001.49417975635,1669.91854295283,2314.30077330892
"58",2009-03-03,1998.61133975793,1679.66333728033,2313.28112635023
"59",2009-03-04,2010.19457307339,1693.48265109538,2343.65903058316
"60",2009-03-05,2012.08354211798,1714.59123399325,2326.55239004986
"61",2009-03-06,2018.13328721937,1717.64996317974,2330.78361334399
"62",2009-03-07,2151.80342069474,1826.4795184933,2455.30304602593
"63",2009-03-08,2149.05878293196,1825.20208183311,2495.59981532642
"64",2009-03-09,2001.0086152815,1697.43843406627,2333.75541449321
"65",2009-03-10,1984.4802840785,1648.47254750096,2298.3126990472
"66",2009-03-11,1995.56255889508,1676.8427452586,2320.28171029857
"67",2009-03-12,2011.41869011655,1689.6372295465,2321.11589738316
"68",2009-03-13,2025.18321117372,1681.25408499346,2337.4424165917
"69",2009-03-14,2151.62591499492,1818.34798371583,2435.91275139347
"70",2009-03-15,2146.82261709735,1835.66776305176,2463.08628925387
"71",2009-03-16,2018.03754857156,1721.7791146184,2321.25869384192
"72",2009-03-17,2024.34828791241,1702.69764755397,2334.41472386695
"73",2009-03-18,2034.93923178987,1735.42217153874,2337.73874410171
"74",2009-03-19,2032.4428612049,1701.23463575412,2336.70664279173
"75",2009-03-20,2038.87307875563,1707.11526219351,2367.83423633123
"76",2009-03-21,2176.75569940431,1845.23642257768,2504.77818271148
"77",2009-03-22,2180.71735688121,1884.01231271583,2538.21176726407
"78",2009-03-23,2045.56641972829,1730.54813440634,2380.93754648266
"79",2009-03-24,2046.05123886716,1740.04313738283,2388.77352287834
"80",2009-03-25,2066.26340000794,1744.57916378752,2394.30129299146
"81",2009-03-26,2078.61633771226,1770.46632271781,2391.10797174531
"82",2009-03-27,2090.42795195461,1758.37237970061,2412.50368672012
"83",2009-03-28,2231.46417710048,1912.1227505714,2558.42410553501
"84",2009-03-29,2250.63543139954,1926.03168299787,2552.19842127082
"85",2009-03-30,2135.23370632593,1820.738523363,2466.79831939041
"86",2009-03-31,2139.89584035979,1828.67347915515,2455.28894267654
"87",2009-04-01,2148.22559397396,1845.40348487677,2471.09254795737
"88",2009-04-02,2151.78389775057,1845.06886813496,2475.29290322943
"89",2009-04-03,2165.31986187057,1819.96718376936,2459.66891029867
"90",2009-04-04,2305.48759705804,1979.95602927633,2665.37164305546
"91",2009-04-05,2313.64671891691,1985.89609021116,2658.51301659602
"92",2009-04-06,2187.9289747772,1853.55196556529,2492.83823118746
"93",2009-04-07,2190.27863917479,1868.79711695938,2484.78951963578
"94",2009-04-08,2193.72604291557,1862.2696127268,2514.06173380195
"95",2009-04-09,2182.43408071455,1873.50066981452,2489.21794129664
"96",2009-04-10,2184.67446168684,1877.20481883685,2494.71473050307
"97",2009-04-11,2330.31305599597,2000.27036335023,2661.88960906753
"98",2009-04-12,2348.55737578709,2029.54594304377,2688.63097115799
"99",2009-04-13,2218.07201459132,1894.2250571512,2527.44366367227
"100",2009-04-14,2207.92335208129,1879.94101574233,2536.80079874278
"101",2009-04-15,2215.19595910517,1887.18814111857,2529.6670619413
"102",2009-04-16,2223.96742728395,1891.16735229105,2564.46166556537
"103",2009-04-17,2234.24262078207,1909.93626482215,2531.65256255975
"104",2009-04-18,2362.28685884241,2039.78042785621,2688.7676484814
"105",2009-04-19,2359.50947847046,2017.62082585719,2677.83978892954
"106",2009-04-20,2227.74884922195,1927.82281698934,2557.20680211393
"107",2009-04-21,2226.38753563172,1879.54032948327,2531.90390624935
"108",2009-04-22,2230.33776750355,1908.07386277005,2563.26437645399
"109",2009-04-23,2226.44319856717,1887.65209831591,2560.66356705687
"110",2009-04-24,2235.11276871109,1923.55965723253,2548.38335901368
"111",2009-04-25,2375.22103227811,2054.73133524447,2684.44544046691
"112",2009-04-26,2381.18244996014,2055.26767282095,2733.12758625575
"113",2009-04-27,2250.05230014995,1940.66438409671,2576.46336569701
"114",2009-04-28,2256.21248702497,1928.44864118794,2576.13872538952
"115",2009-04-29,2279.86692716602,1975.81432641436,2579.28301564319
"116",2009-04-30,2290.11692367976,1978.06737066398,2610.04379754112
"117",2009-05-01,2294.01769666739,1978.2492099542,2612.00502457925
"118",2009-05-02,2422.72482471727,2093.60198677572,2729.35821624472
"119",2009-05-03,2427.62960139668,2099.31264275128,2737.66743049584
"120",2009-05-04,2301.10525475311,1974.95026362466,2612.90393270654
"121",2009-05-05,2303.38085390609,1971.09073134097,2606.35369477636
"122",2009-05-06,2317.21250898376,2009.69675856858,2635.24024868812
"123",2009-05-07,2324.31776229785,2001.20707342023,2633.49003406145
"124",2009-05-08,2329.42587990999,2035.52582252634,2642.23632203238
"125",2009-05-09,2450.77185579283,2122.85754500021,2771.67253656899
"126",2009-05-10,2442.89564409677,2113.61392443272,2760.1307591859
"127",2009-05-11,2315.89683135224,2017.48393994396,2633.7315949052
"128",2009-05-12,2331.3219195258,2003.27628340512,2626.62751528861
"129",2009-05-13,2351.21847774665,2037.35688840662,2648.87514058683
"130",2009-05-14,2348.64346416039,2031.28858736761,2672.32778702363
"131",2009-05-15,2348.48242766019,2030.19126819203,2664.99744101202
"132",2009-05-16,2485.1852276519,2174.76940909042,2800.7107546931
"133",2009-05-17,2495.61471711288,2182.09318739824,2805.4858370024
"134",2009-05-18,2363.04964710152,2042.16780607826,2698.35641051545
"135",2009-05-19,2354.59803014634,2037.47563285209,2677.0447891216
"136",2009-05-20,2361.28562589421,2060.98734976458,2673.96762471634
