"","ds","yhat","yhat_lower","yhat_upper"
"1",2009-01-05,1684.45140345262,1358.57075568971,1983.32843607548
"2",2009-01-06,1692.83409757097,1351.91968532275,2016.60128121745
"3",2009-01-07,1702.91110985471,1364.40966293493,2041.78126881914
"4",2009-01-08,1705.44029578479,1388.09382044033,2028.58327708201
"5",2009-01-09,1727.88960469649,1419.47455541356,2052.97880791265
"6",2009-01-10,1892.36111556915,1573.86854129407,2212.92114469797
"7",2009-01-11,1914.5734911313,1581.61469753564,2226.63460102923
"8",2009-01-12,1782.04004425778,1447.43892578421,2095.36781560262
"9",2009-01-13,1781.73622170624,1454.43742648322,2087.10952357245
"10",2009-01-14,1801.61632818831,1474.54728007816,2117.2875146453
"11",2009-01-15,1816.07800810635,1501.6314348203,2126.57150599798
"12",2009-01-16,1827.07863195187,1518.79534726304,2171.26066142514
"13",2009-01-17,1962.03845434216,1645.34735125515,2279.57583926451
"14",2009-01-18,1964.85711896762,1628.04884817998,2256.02378542893
"15",2009-01-19,1831.05901122992,1519.26878399464,2159.33850414084
"16",2009-01-20,1827.01026812607,1457.99045764336,2140.88031710363
"17",2009-01-21,1828.47910142716,1533.9019951059,2156.43565557451
"18",2009-01-22,1825.39340011242,1529.75863622427,2142.30123284288
"19",2009-01-23,1834.94068262051,1519.41882665198,2179.0717119302
"20",2009-01-24,1974.89641430037,1644.99719467981,2302.10616121691
"21",2009-01-25,1974.46724211361,1630.65198825667,2272.86110508456
"22",2009-01-26,1836.13454579565,1490.01283199176,2166.15322726535
"23",2009-01-27,1840.91292383037,1512.7597986529,2157.07206686298
"24",2009-01-28,1857.75880488346,1533.52981647791,2172.07572783457
"25",2009-01-29,1856.32487446829,1521.92382044693,2192.01612224597
"26",2009-01-30,1852.41166312249,1568.61261003726,2184.59367641841
"27",2009-01-31,1982.8115888443,1639.55495974751,2295.67720328317
"28",2009-02-01,1985.07284142253,1671.98946565714,2320.62128062031
"29",2009-02-02,1848.85373542331,1526.66690273066,2147.14773827119
"30",2009-02-03,1846.48082812831,1551.09491350483,2182.04966982502
"31",2009-02-04,1856.86947000674,1539.65243551639,2158.44468721473
"32",2009-02-05,1857.86734587563,1538.39558194235,2186.52889651318
"33",2009-02-06,1855.9760974384,1521.97003787584,2193.63735274444
"34",2009-02-07,1979.97814715923,1665.86427789722,2293.5265358874
"35",2009-02-08,1979.01050100441,1654.34126446475,2304.35304966136
"36",2009-02-09,1855.35820362047,1526.18975177046,2186.70933746688
"37",2009-02-10,1870.51619960222,1533.21583676391,2195.77955840058
"38",2009-02-11,1884.70530208738,1561.57326961742,2226.30860884037
"39",2009-02-12,1881.56891422416,1574.78034756425,2212.7319933612
"40",2009-02-13,1889.99650509722,1578.12779614456,2190.71813499477
"41",2009-02-14,2038.88922895702,1728.76402710482,2362.91185605131
"42",2009-02-15,2050.49379565352,1718.67411522812,2403.93008498224
"43",2009-02-16,1913.82165787045,1565.1117726198,2259.20419733958
"44",2009-02-17,1911.59021351211,1581.12458181797,2251.10793907066
"45",2009-02-18,1926.58287880236,1590.38556723775,2253.4588317571
"46",2009-02-19,1933.18782371124,1611.66409220021,2228.32670933601
"47",2009-02-20,1938.51656398828,1617.13450686812,2247.49055951374
"48",2009-02-21,2073.97225262467,1748.47697600389,2376.35882729385
"49",2009-02-22,2082.05285534431,1752.52173334922,2403.58658007082
"50",2009-02-23,1954.80012208633,1618.8268501687,2269.90050909412
"51",2009-02-24,1958.19071328982,1636.18538096817,2293.66166149615
"52",2009-02-25,1969.91222707141,1655.76085452174,2293.24360900564
"53",2009-02-26,1979.31404651558,1656.22262749719,2304.4406970756
"54",2009-02-27,1999.51201919479,1689.99776015454,2291.29231344161
"55",2009-02-28,2144.62633325775,1812.28172237716,2440.93319535467
"56",2009-03-01,2143.23539957979,1783.9966346725,2456.8710836521
"57",2009-03-02,1999.12012990861,1671.84936026883,2312.5642768974
"58",2009-03-03,1995.92402225485,1684.87897369837,2296.85489202495
"59",2009-03-04,2007.69175779667,1710.37792862231,2312.29115108902
"60",2009-03-05,2009.34771228055,1693.32275507219,2344.76103792973
"61",2009-03-06,2015.48914987499,1714.78784218048,2354.70824103489
"62",2009-03-07,2153.07550406056,1820.08780223222,2481.9684746407
"63",2009-03-08,2150.01757908626,1815.95412940217,2480.1332272871
"64",2009-03-09,1997.91257462956,1671.08593754175,2298.84665678359
"65",2009-03-10,1982.22385564885,1648.76887773761,2290.22470804199
"66",2009-03-11,1993.38920455398,1686.22128560161,2307.01181561246
"67",2009-03-12,2008.39154339088,1680.43159634724,2349.1579891665
"68",2009-03-13,2022.70698954762,1706.47875794134,2359.95324743185
"69",2009-03-14,2154.48621275882,1849.59830514023,2460.29152187738
"70",2009-03-15,2150.06240616109,1853.0558600841,2473.83369831185
"71",2009-03-16,2016.48034996,1701.30554185737,2331.80432724422
"72",2009-03-17,2022.64669499482,1696.01982693516,2347.2469508433
"73",2009-03-18,2033.26853159499,1715.65995157545,2352.26603562886
"74",2009-03-19,2030.40870397716,1722.06429823155,2375.48519806036
"75",2009-03-20,2037.47372909852,1724.95329072779,2366.67226855093
"76",2009-03-21,2180.36844656193,1852.53096771316,2500.78018700634
"77",2009-03-22,2184.55956666188,1861.95483626243,2529.03380570411
"78",2009-03-23,2044.65427962451,1737.61135913754,2361.42060006067
"79",2009-03-24,2044.84935877096,1719.90665012167,2372.17933119952
"80",2009-03-25,2064.85861223971,1748.03915510549,2391.02307168209
"81",2009-03-26,2076.89816970993,1761.97645841153,2388.5784207541
"82",2009-03-27,2089.50533254883,1736.31898889061,2379.39110450683
"83",2009-03-28,2235.39492251279,1917.90583739673,2543.3924580363
"84",2009-03-29,2254.56703426831,1937.93704354549,2573.29724078207
"85",2009-03-30,2134.73583943257,1830.9132411763,2424.8087285103
