Date,Last Price,Change,%Change,Open,Low,High,Volume,Net Foreign,Weekend.Holiday
1/5/2009,1974.69,101.84,0.0544,1925.75,1925.07,1979.86,735.29K,303.9M,0
1/6/2009,1969.58,-5.11,-0.0026,1976.05,1965.99,1984.95,866.28K,186.83M,0
1/7/2009,2003.89,34.31,0.0174,1974,1974,2004.68,1.12M,-27.44M,0
1/8/2009,1970.72,-33.17,-0.0166,1976.22,1958.82,1976.22,645.73K,-182.35M,0
1/9/2009,1984.88,14.16,0.0072,1970.72,1969.39,1992.73,683.02K,102.9M,0
1/10/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
1/11/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
1/12/2009,1997.83,12.95,0.0065,1980.14,1976.94,2000,802.14K,170.8M,0
1/13/2009,1996.04,-1.79,-0.0009,1992.01,1990.74,2001.79,962.22K,-963.7M,0
1/14/2009,1984.92,-11.12,-0.0056,1995.12,1980.57,1998.59,555.16K,88.97M,0
1/15/2009,1954.97,-29.95,-0.0151,1965.22,1939.86,1965.22,584.44K,-154.09M,0
1/16/2009,1950.13,-4.84,-0.0025,1969.42,1948.79,1969.42,723.66K,-254.57M,0
1/17/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
1/18/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
1/19/2009,1922.99,-27.14,-0.0139,1950.4,1922.25,1954.41,475.83K,-212.32M,0
1/20/2009,1897.93,-25.06,-0.013,1925.62,1871.33,1925.62,2.67M,-160.61M,0
1/21/2009,1840.12,-57.81,-0.0305,1885.16,1827.33,1885.16,649.13K,-417.22M,0
1/22/2009,1863.52,23.4,0.0127,1855.2,1848.35,1869.35,736.7K,-223.08M,0
1/23/2009,1857.34,-6.18,-0.0033,1860.74,1845.36,1860.74,657.19K,-235.86M,0
1/24/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
1/25/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
1/26/2009,1869.92,12.58,0.0068,1860.85,1856.77,1881.81,345.33K,2.7M,0
1/27/2009,1880.81,10.89,0.0058,1874.77,1874.77,1887.87,302.9K,-60.17M,0
1/28/2009,1869.56,-11.25,-0.006,1883.77,1866.83,1886.45,441.87K,-252.02M,0
1/29/2009,1860.69,-8.87,-0.0047,1880.64,1856.64,1890.91,572.51K,12.84M,0
1/30/2009,1825.09,-35.6,-0.0191,1846.31,1818.56,1846.38,662.88K,-193.56M,0
1/31/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
2/1/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
2/2/2009,1833.57,0,0,1840.75,1822.41,1840.75,449.78K,52.1M,0
2/3/2009,1826.13,-7.44,-0.0041,1832.86,1826.13,1843.23,464.26K,-119.07M,0
2/4/2009,1847.55,21.42,0.0117,1851.04,1846.38,1857.01,475.13K,163.72M,0
2/5/2009,1892.07,44.52,0.0241,1849.19,1849.19,1894,956.26K,117.23M,0
2/6/2009,1942.48,50.41,0.0266,1915.9,1915.9,1951.08,1.38M,146.46M,0
2/7/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
2/8/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
2/9/2009,1951.46,8.98,0.0046,1945.98,1942.01,1961.87,763.81K,-191.6M,0
2/10/2009,1917.57,-33.89,-0.0174,1951.85,1916.69,1951.85,939.59K,-426.72M,0
2/11/2009,1897.75,-19.82,-0.0103,1917.57,1873.63,1917.57,1.1M,-416.75M,0
2/12/2009,1924.1,26.35,0.0139,1900.69,1900.69,1925.96,1.61M,-99.39M,0
2/13/2009,1919.66,-4.44,-0.0023,1923.7,1919.62,1940.69,884.6K,-108.08M,0
2/14/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
2/15/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
2/16/2009,1915.79,-3.87,-0.002,1921.48,1912.79,1921.97,714.91K,30.27M,0
2/17/2009,1899.9,-15.89,-0.0083,1910.35,1894.11,1914.35,609.3K,41.73M,0
2/18/2009,1892.23,-7.67,-0.004,1881.82,1870.56,1892.23,620.09K,-99.76M,0
2/19/2009,1899.8,7.57,0.004,1901.42,1892.63,1901.97,1.53M,-462.18M,0
2/20/2009,1881.44,-18.36,-0.0097,1891.16,1879.19,1895.92,964.99K,-20.4M,0
2/21/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
2/22/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
2/23/2009,1891.04,9.6,0.0051,1877.91,1867.13,1891.04,2.43M,3.33B,0
2/24/2009,1869.59,-21.45,-0.0113,1879.98,1865.33,1879.98,647.69K,-288.91M,0
